the extracted feature,class
"[-3.21031403e+02  1.80354248e+02 -4.23042297e+01 -3.45169716e+01
 -4.32637739e+00  5.96859884e+00 -4.06770277e+00 -2.17932296e+00
  7.15738475e-01  1.11713877e+01  5.71723652e+00  4.30265522e+00
  5.69900990e+00  1.50089622e+00  2.96620250e+00 -1.61733878e+00
 -9.49982166e+00  4.77916527e+00 -7.30058479e+00 -6.08425379e+00
 -3.66320658e+00  2.36715937e+00 -4.99646950e+00 -2.55672693e+00
  1.13389105e-01 -5.17872381e+00 -9.90348220e-01 -7.02816629e+00
 -7.24428797e+00 -3.85063314e+00 -1.73889387e+00  6.07765388e+00
  5.77320528e+00  3.31623244e+00  1.77600753e+00  8.51419163e+00
  2.08005810e+00  2.25336164e-01  8.69337177e+00  2.92973590e+00]",yaman
"[-320.57526     187.5757      -43.84351     -33.19482      -3.7701778
    6.7454066    -4.924723     -1.1433127     0.49474436   11.264122
    5.938561      5.449922      6.6719213     1.8944979     2.8576899
   -0.9520099    -8.586629      6.678048     -5.8036265    -2.9756
   -4.6682463     2.714575     -5.128364     -2.2337143    -0.6376423
   -6.4784193    -2.2600358    -3.326194     -3.3651154    -2.6063523
   -2.221215      2.9497347    -3.6510456    -4.63687      -6.42089
    3.6271298     1.55978       3.9949837    13.799839      6.206757  ]",yaman
"[-2.8339603e+02  1.7920689e+02 -3.4661983e+01 -3.4464008e+01
  1.3228222e+00  6.2548704e+00 -8.3633680e+00 -1.9725276e+00
 -4.6223122e-01  1.0972122e+01  5.6890225e+00 -3.7658553e+00
 -1.9531504e+00 -4.7511211e-01  5.9123931e+00  1.7779389e-01
 -2.5701516e+00 -1.3282386e+00 -1.1691679e+01 -9.6893559e+00
 -3.4164619e+00 -2.7274611e+00  9.6366626e-01  1.2433288e+01
  1.5726099e+01  5.5424714e+00  2.2218385e+00 -6.6812587e+00
 -9.0583963e+00 -2.3604195e+00  9.9667990e-01  3.9970427e+00
  2.6614292e+00  1.5961410e+00 -1.7711270e+00  9.6083087e-01
 -3.2129812e+00 -5.8386383e+00  3.1473035e-01 -8.2850941e-02]",yaman
"[-2.6763788e+02  5.4098690e+01 -9.0266352e+00  5.3951420e+01
 -9.4469023e+00 -2.7011850e+00  7.7981688e-02  1.0434283e+00
 -4.3650192e-01  5.2104402e+00 -1.7022917e+00 -4.9893947e+00
 -1.4621025e+01  5.7512684e+00 -8.9045277e+00 -4.7677951e+00
  1.2832830e+00  5.4668026e+00  2.1484444e+00  9.7310390e+00
 -3.9137764e+00  2.0832167e+00 -5.0127959e-01  9.9760473e-02
  5.1698384e+00  9.9906969e+00 -5.0569592e+00  5.5008597e+00
  2.3603482e+00  2.9828653e+00  1.1605723e+01  2.7747698e+00
  8.2101631e-01  3.5300615e+00  4.5956329e-01  7.0255451e+00
  1.6622440e+00  6.6308966e+00 -1.1497933e+00  3.4463565e+00]",yaman
"[-2.5496027e+02  1.7215692e+02 -4.3651409e+01 -1.8764547e+01
 -1.7978408e+00  5.4026520e-01 -2.5918997e+01 -7.7718320e+00
 -3.6475432e+00  1.1287656e+01  4.4238753e+00 -5.9273162e+00
  3.6675513e+00  6.1754522e+00  6.6171002e+00  5.9035845e+00
 -4.2261791e-01  1.1972888e+00 -4.4207325e+00 -7.3219142e+00
 -2.1152153e+00 -5.3546567e+00 -1.6978727e-01  7.4681029e+00
  1.4558158e+01  3.0882378e+00 -8.1111884e-01  5.3989661e-01
 -3.0447409e+00  3.0801086e+00  5.0447574e+00  8.1953869e+00
  3.4662390e+00  1.3447221e-01 -4.3011162e-01  3.0207556e-01
 -6.3002739e+00 -6.7040777e+00  1.2103249e+00  2.9722252e+00]",yaman
"[-271.2665      177.79535     -48.22185      -2.80415       7.7988515
   -4.9340878   -28.380068     -6.8992357    -4.6098        8.25619
    0.6053391    -3.8241072     8.806224     10.070759      6.943066
    5.802187     -6.603019      2.0883927    -3.1963112    -3.7652318
   -3.9065378    -2.8159752    -4.937458      1.5857493     6.369592
   -9.318034     -4.29045       0.42149544   -1.2525911     1.9291191
    3.9434035     7.7684383     6.722544      3.653463      0.91392374
    5.682601     -3.684882      1.6060208     7.6852083     5.9296412 ]",yaman
"[-3.19358093e+02  1.71340302e+02 -4.24422417e+01 -3.73666267e+01
 -4.65210056e+00  6.95382357e+00 -1.41239297e+00 -2.22945571e-01
  1.16235757e+00  1.21035385e+01  8.11095047e+00  3.58524847e+00
  4.32155848e+00  6.12009287e-01  6.00995731e+00 -2.20853496e+00
 -8.49748993e+00  5.92646837e+00 -6.46094418e+00 -7.07882118e+00
 -3.02539921e+00  2.66741160e-02 -6.98130178e+00 -2.00276351e+00
  8.23787987e-01 -4.18788052e+00 -6.50463393e-03 -4.99707890e+00
  5.26127458e-01  5.68809891e+00  1.33804932e+01  1.66804848e+01
  1.64056244e+01  9.47047043e+00  2.72518456e-01  3.35174608e+00
 -2.00381112e+00  1.53517592e+00  8.09519768e+00  1.56253839e+00]",yaman
"[-2.7627496e+02  1.6772946e+02 -3.4288605e+01 -3.6526810e+01
  2.9132333e+00  2.9930406e+00 -1.3199495e+01 -9.7224379e-01
 -3.7000248e+00  6.6992450e+00  2.8568382e+00 -4.3878183e+00
 -2.3763120e+00  2.2438457e-02  5.4980397e+00 -6.9786745e-01
 -5.8608432e+00 -3.6250269e+00 -1.2046636e+01 -7.4096680e+00
  4.0414605e-01  2.3924370e+00  4.9535170e+00  1.1531968e+01
  1.5719587e+01  5.6465616e+00  2.8768630e+00 -5.3189540e+00
 -7.1281309e+00  9.1939819e-01  3.1895571e+00  5.6232133e+00
  3.4057963e+00  1.5455334e+00 -2.3002484e+00 -6.4162421e-01
 -5.6805758e+00 -7.8173285e+00 -1.0401117e+00 -4.9009269e-01]",yaman
"[-2.6423889e+02  1.7367542e+02 -4.1636230e+01 -3.4583603e+01
  1.8690661e+00  5.2255898e+00 -1.5604066e+01 -3.1051879e+00
 -5.8816557e+00  7.6963038e+00  2.1620069e+00 -4.7845826e+00
 -1.5614053e+00  9.9405879e-01  4.7204881e+00 -9.4085968e-01
 -6.9146199e+00 -1.5914329e+00 -1.0282082e+01 -7.0013618e+00
  1.3409798e+00  1.1331259e-01  1.0522688e-02  6.2757516e+00
  1.1432841e+01  2.2889776e+00  1.8682876e+00 -3.8916924e+00
 -6.9477811e+00 -2.0129051e+00  2.3658998e+00  6.0937524e+00
  3.6281326e+00  3.6215386e-01 -3.2720077e+00 -2.4779828e-01
 -3.9337173e+00 -3.4839785e+00  1.8829223e+00  4.7883055e-01]",yaman
"[-3.0436572e+02  1.8288461e+02 -3.9371391e+01 -2.8458422e+01
  3.3309007e+00  3.9633262e+00 -9.5200930e+00 -8.2650793e-01
 -2.9769239e+00  8.4445791e+00  3.4707294e+00  1.4231996e-01
  4.4264798e+00  4.3878067e-01  2.2795923e+00 -1.0816313e+00
 -9.0812721e+00  1.4813527e+00 -8.4002018e+00 -5.9820595e+00
 -3.0783079e+00 -4.0218771e-01 -4.5112743e+00 -8.6446458e-01
  2.4062250e+00 -6.6685290e+00 -4.0964093e+00 -7.9101982e+00
 -7.7063775e+00 -2.2404814e+00  3.3988922e+00  6.9471178e+00
  7.9039531e+00  6.1958370e+00  9.5562512e-01  1.2411354e+00
 -4.0532908e+00 -5.4263198e-01  7.1223559e+00  4.0192533e+00]",yaman
"[-2.8834921e+02  5.6399918e+01 -5.7801070e+00  5.4776249e+01
 -6.8720875e+00 -4.1590500e+00  9.5818979e-01  7.3639739e-01
 -1.0664968e+00  5.3875513e+00 -3.4250584e+00 -4.4291749e+00
 -1.2219960e+01  5.2653484e+00 -9.6146412e+00 -3.7183187e+00
 -1.4093099e+00  2.4163492e+00  7.6621526e-01  1.1686660e+01
 -2.7964461e+00  4.0931239e+00 -2.3790362e+00 -3.6507027e+00
  2.1578491e+00  1.1315514e+01  7.2013390e-01  9.5349054e+00
  3.7987107e-01  1.4378043e-01  7.7304053e+00  5.3160305e+00
  5.8362117e+00  4.2504210e+00 -9.8892033e-01  5.5475092e+00
  1.3753395e-01  6.4650087e+00  1.6635429e+00  3.2873881e+00]",yaman
"[-2.8299417e+02  1.7725954e+02 -4.9145981e+01 -6.9400275e-01
  8.4928255e+00 -1.6352508e+00 -2.6814648e+01 -1.1784175e+01
 -2.5074677e+00  1.0549120e+01  9.4732600e-01 -4.0366364e+00
  7.0867295e+00  1.0146700e+01  6.7541771e+00  7.0231843e+00
 -5.1477084e+00  5.2189059e+00 -5.7447567e+00 -4.2584872e+00
 -5.4992080e+00 -7.6723045e-01 -5.1845975e+00  2.7108445e+00
  4.9257693e+00 -8.5024652e+00 -6.1608291e+00  1.0478982e-01
 -3.2472088e+00  4.0966511e-01  1.5906951e-01  6.3134484e+00
  3.8887222e+00  1.5462855e+00 -2.1571016e+00  5.6904621e+00
 -4.4143267e+00  3.4721068e-01  7.0726476e+00  5.2147522e+00]",yaman
"[-3.0300671e+02  1.7054140e+02 -4.5546024e+01 -1.2156674e+01
 -1.5767423e+00  2.1095443e+00 -2.0822998e+01 -6.8851180e+00
  7.0567620e-01  8.5455790e+00  7.0559196e+00  2.1659391e+00
  1.1673720e+01  1.0333130e+01  4.3436623e+00  6.9921174e+00
 -1.9109768e+00  4.6528902e+00 -3.5541189e+00 -2.3600958e-01
 -3.8730011e+00 -2.4448137e+00 -1.0758824e+01  1.0176806e+00
  1.8619107e-01 -7.9669137e+00 -1.8033073e+00  8.2278204e+00
 -2.2988338e+00 -2.3549170e+00 -1.6668320e+00  6.5072575e+00
 -1.9376737e-01 -3.7701421e+00 -6.0609574e+00  1.8937300e+00
 -7.7636085e+00 -4.4202828e+00 -6.5749365e-01  1.5356691e+00]",yaman
"[-2.7922302e+02  5.5965061e+01 -8.2362976e+00  4.5459351e+01
 -1.1514512e+01  7.1858346e-02 -9.9908912e-01  2.4125414e-01
 -8.3513802e-01  6.2503648e+00 -3.0419304e+00 -6.9499412e+00
 -1.0785960e+01  5.3927102e+00 -9.5061293e+00 -1.4158230e+00
  1.2848679e-02  3.7992966e+00  3.5446451e+00  7.7083092e+00
 -5.0906787e+00  9.0150952e-01  4.5121855e-01  4.3415871e+00
  1.1606899e+01  1.5408228e+01  1.7596742e+00  1.1163548e+01
 -1.9009201e-01  3.4506280e+00  8.3081818e+00 -9.8339391e-01
  2.7069936e+00  1.3824310e+00 -1.7859321e+00  5.8191366e+00
  7.9248512e-01  5.9153099e+00 -2.9312763e+00 -1.6983163e+00]",yaman
"[-3.1071387e+02  1.8493541e+02 -4.6479557e+01 -3.5656147e+01
 -5.8985462e+00  3.4685326e+00 -4.6922355e+00 -7.7746296e-01
  2.1233730e+00  1.0356690e+01  8.8277493e+00  7.8541908e+00
  3.1375260e+00  1.3862807e+00  1.4167007e+00  1.5870270e-01
 -7.4060326e+00  5.1610551e+00 -5.2743597e+00 -5.0079894e+00
 -1.8534765e+00  4.1013556e+00 -5.2977343e+00 -9.3922704e-01
  8.4414679e-01 -4.4032459e+00 -2.1723180e+00 -2.6898794e+00
 -1.4860718e+00 -1.9336267e+00 -3.7214985e+00  4.2110200e+00
 -5.2560359e-01 -3.2470171e+00 -7.0233536e+00 -1.2998981e+00
 -5.7066083e+00 -1.0203283e+01  1.2877773e+00 -4.2072239e+00]",yaman
"[-3.1772693e+02  1.7319153e+02 -4.5661144e+01 -3.6202587e+01
 -5.5534897e+00  6.2833056e+00 -4.2442846e-01  7.4399573e-01
  8.1099921e-01  1.1470092e+01  8.3538170e+00  5.9124403e+00
  5.9844236e+00  2.6446598e+00  1.4039169e-01  1.7031627e+00
 -8.3417540e+00  3.8738348e+00 -1.0098041e+01 -4.0701728e+00
 -3.6749519e-02  3.5123138e+00 -7.1034679e+00  1.6266071e+00
  2.3152359e+00 -4.0981069e+00 -5.0497770e+00 -3.3129246e+00
 -3.6311848e+00 -2.6388984e+00 -5.3254004e+00  7.1610302e-01
  3.6095148e-01 -2.9168255e+00 -7.4452524e+00 -2.4323572e-01
  1.0450547e+00  4.9807105e+00  1.2069326e+01  6.7798905e+00]",yaman
"[-287.1524      190.82693     -42.09327     -24.975273      2.9803185
    7.2832127   -12.555528     -1.5237452    -6.498915      7.446017
    1.7836765    -3.3664656     3.2180414     0.6632015     3.411633
    0.5670248    -7.589955     -0.9631991   -13.173812     -6.68625
   -0.98324066   -1.6852555    -5.329481      0.79132533    5.83434
   -5.689435     -3.0749004    -7.1287565    -6.6216326    -1.9622934
    1.8627292     5.708017      8.709003      7.9930997     0.9980858
    1.924972     -2.1769946    -1.4926351     5.8855104     2.5141008 ]",yaman
"[-2.3348814e+02  1.9215604e+02 -6.8804909e+01 -2.7844915e+01
  1.1832355e+01 -4.1569395e+00 -2.1929903e+01 -8.1117916e+00
 -7.3943682e+00  6.9635940e+00  1.9085528e+00 -4.0367980e+00
  3.1710331e+00  2.3967223e+00  1.8328915e+00  2.0486100e+00
 -4.5502906e+00 -9.1064721e-01 -6.5426292e+00 -5.3859673e+00
 -3.2127004e+00 -2.6904082e+00 -6.4256964e+00 -2.3737342e+00
  2.7438712e+00 -6.5648618e+00 -2.1298566e+00  2.0405152e+00
 -3.3723049e+00 -1.7337468e+00  2.6804757e+00  7.0395699e+00
  6.1532459e+00  3.9903636e+00  2.8853273e-01  1.7769070e+00
 -3.5729623e+00 -6.7708381e-02  6.6056762e+00  4.9722686e+00]",yaman
"[-2.7613037e+02  5.3358967e+01 -7.2629914e+00  5.1542313e+01
 -7.9651203e+00 -4.0087175e+00 -5.7315314e-01  1.4359313e+00
 -1.2234808e+00  5.7371054e+00 -2.7273297e+00 -6.9406323e+00
 -1.2256388e+01  5.0324545e+00 -9.5982113e+00 -2.7769604e+00
  1.6499263e+00  6.7135201e+00  4.0192771e+00  9.0357523e+00
 -5.3036170e+00  6.5801579e-01 -2.7226698e-01  1.7074217e+00
  7.0532713e+00  1.0730178e+01 -5.0885158e+00  6.7071357e+00
  9.8068964e-01  3.9135084e+00  1.0826437e+01  1.4370208e+00
  2.7646224e+00  3.7536826e+00  7.2447979e-01  8.4349146e+00
  2.5284605e+00  6.9664769e+00 -2.0213838e+00  1.9048494e+00]",yaman
"[-2.9368015e+02  1.7485017e+02 -4.6254047e+01 -1.0192120e+01
  1.3012334e+00 -1.9508612e+00 -2.3163977e+01 -5.3557496e+00
  8.3216339e-01  7.5541835e+00  3.0457535e+00  3.1726598e-03
  1.6059904e+01  1.3093630e+01  6.1440258e+00  7.7283478e+00
  1.5054321e-01  6.0524664e+00 -3.2134366e+00  1.2890211e+00
 -4.1010995e+00 -2.2140136e+00 -7.8172026e+00  2.7047850e-02
 -2.9181528e+00 -1.1809010e+01 -3.8944333e+00  8.4864025e+00
 -6.7658067e-01 -8.9260501e-01  1.9765913e-01  4.6650214e+00
 -6.7241311e-01 -4.8523841e+00 -6.0425339e+00  5.2764177e+00
 -3.5325307e-01  3.6313608e+00  4.3497334e+00  3.1712184e+00]",yaman
"[-2.7917151e+02  1.7565303e+02 -4.7534786e+01 -6.7277060e+00
  7.7061129e+00 -6.8973041e-01 -2.7387190e+01 -1.0186349e+01
 -4.4301119e+00  8.7393980e+00  3.2676578e+00 -1.4319984e+00
  7.4517527e+00  1.1045755e+01  5.5059881e+00  5.5275989e+00
 -4.8142452e+00  4.2940106e+00 -5.0883002e+00 -4.9057446e+00
 -5.6192431e+00 -2.7776837e+00 -4.7256904e+00  5.6842333e-01
  3.4596312e+00 -8.3906775e+00 -3.9718943e+00  2.0812955e+00
 -2.1372216e+00  2.5718480e-01  4.0532985e+00  1.0426157e+01
  7.1511250e+00  3.1867485e+00 -1.9451605e-01  5.9998164e+00
 -4.8854508e+00  1.1931232e+00  6.9543786e+00  6.6945004e+00]",yaman
"[-2.8605673e+02  5.7285805e+01 -3.2805262e+00  4.7974957e+01
 -8.3932009e+00 -6.5042675e-01 -2.6495199e+00 -1.3048719e+00
 -3.5626507e+00  8.5292006e+00 -1.7781454e+00 -6.7349005e+00
 -1.0222633e+01  5.2041502e+00 -8.9820242e+00 -2.9999437e+00
 -2.7408216e+00  1.6843508e+00  1.4625637e-01  8.6383123e+00
 -1.3843105e+00  2.6895440e+00 -1.1598558e+00 -1.4103365e+00
  4.8694921e+00  1.3875544e+01  4.4296808e+00  1.5429450e+01
  3.3296170e+00  2.2224472e+00  7.1791177e+00  1.9708378e+00
  3.7274926e+00  1.7013701e+00 -3.0465987e+00  2.5980306e+00
 -1.3123536e+00  4.9171371e+00  1.4618461e+00  3.0229020e+00]",yaman
"[-2.85660858e+02  1.87609207e+02 -4.21495323e+01 -2.13846703e+01
  8.93516254e+00  1.95927382e+00 -1.32309065e+01 -2.57951188e+00
 -6.38218832e+00  8.08477879e+00  3.26117367e-01 -3.79666758e+00
  3.50732875e+00  1.42605811e-01  5.66351175e+00  7.92735755e-01
 -7.09002066e+00 -3.75119746e-01 -1.15127687e+01 -7.91767216e+00
 -1.56407356e+00  2.54563183e-01 -4.30331659e+00  1.57223475e+00
  6.65557909e+00 -6.45676661e+00 -3.90608025e+00 -7.63318396e+00
 -8.64468098e+00 -3.30162930e+00  8.20712686e-01  5.23992157e+00
  8.15529346e+00  6.86403370e+00  9.94438887e-01  2.19356370e+00
 -2.46239376e+00 -8.89009476e-01  7.65352249e+00  4.70838213e+00]",yaman
"[-237.02867     190.64961     -66.00257     -22.055412     16.421488
   -3.2829676   -23.361137     -9.134133     -4.7390065     5.827917
    0.5452799    -4.766052      6.5739093     3.3762536     1.7779564
    1.424309     -4.4938126     1.295733     -4.4041667    -6.151127
   -3.3265164    -2.5187461    -7.7451525    -2.2141027     1.8175681
   -7.833565     -2.0010586     0.44550702   -2.6424153    -2.9303522
    1.378036      6.153392      3.1966465     1.9961293    -1.9688458
    0.42109075   -4.178873     -0.37887532    6.6411943     5.628219  ]",yaman
"[-2.5566383e+02  1.9051067e+02 -5.2308613e+01 -4.2971443e+01
 -2.2767968e+00  1.0501513e+01 -1.3498413e+01 -2.1758714e+00
 -2.9337599e+00  7.4238186e+00  3.8344157e+00 -1.2450461e+00
 -3.6642416e+00 -3.0096364e+00  3.8276343e+00  2.1992710e+00
 -6.0400333e+00  1.2663029e+00 -1.1496008e+01 -7.1185231e+00
  2.8962174e-01 -1.4193535e+00 -5.2584753e+00  1.8277297e+00
  6.0996890e+00 -4.2886453e+00 -4.0551338e+00 -8.4365427e-01
 -3.7756743e+00 -8.9848506e-01  3.8942945e+00  5.6805568e+00
  9.2787657e+00  8.6440430e+00  4.0381198e+00 -2.0540904e-01
 -1.9159050e+00 -3.7122145e-01  4.8468976e+00  2.7379696e+00]",yaman
"[-2.7806403e+02  1.8196857e+02 -4.2648491e+01 -2.3491510e+01
  7.7243319e+00  4.2847362e+00 -1.5760302e+01 -2.8886361e+00
 -3.0057864e+00  7.1095428e+00 -2.0207367e+00 -2.3197484e+00
  2.3846762e+00 -1.3018911e+00  4.5939493e+00  1.0236075e+00
 -9.3205051e+00  7.7402198e-01 -1.0266423e+01 -9.7080984e+00
 -3.2872386e+00 -1.0300097e+00 -4.2482142e+00  1.9725614e+00
  2.8449180e+00 -8.8086691e+00 -3.9517293e+00 -5.0756516e+00
 -6.6808715e+00  1.0898486e-01  3.9195325e+00  5.8414283e+00
  9.5986710e+00  7.5175061e+00 -8.9972407e-01 -1.2324924e+00
 -1.6839691e+00  8.8579381e-01  7.3084736e+00  6.5628972e+00]",yaman
"[-234.38963     198.57048     -70.667015    -29.370953      7.8597693
    0.33644894  -22.311913     -8.513224     -4.0959177     7.3723164
    4.5889826    -3.9848292     2.4300086     1.2349076     1.9151217
    1.4266464    -3.2656279    -0.33247274   -6.4024854    -4.562903
   -1.4046274    -2.6328363    -6.7321997    -1.0762702     1.5680813
   -6.004014     -2.6776156     0.44302982   -3.2505617    -2.607562
    2.90573       7.1996775     3.7891243     2.3935008    -0.6547926
    1.0928543    -4.4285326    -1.2927455     6.5723453     4.601113  ]",yaman
"[-2.7384213e+02  1.9084886e+02 -4.2291309e+01 -3.4559002e+01
 -2.0496717e-01  7.9487495e+00 -9.4181299e+00 -2.2411325e+00
 -6.9623580e+00  1.0280472e+01  4.8510752e+00 -3.4608452e+00
  1.0439837e+00 -1.0912100e+00  4.2057142e+00  1.4147782e-01
 -7.2426367e+00 -2.3634865e+00 -1.2027179e+01 -7.3902159e+00
  1.4619206e+00  3.4589585e-02 -4.9565992e+00  2.2976446e+00
  5.9591641e+00 -4.2893267e+00 -3.6445835e+00 -6.9584336e+00
 -6.3438134e+00 -1.4173154e+00  2.2421420e+00  4.4105792e+00
  8.1734791e+00  8.3443155e+00  2.5271933e+00  2.7061095e+00
 -2.0173066e+00 -1.5886137e+00  5.7646222e+00  2.0720809e+00]",yaman
"[-2.8992981e+02  6.5596031e+01 -3.0294247e+00  4.8775921e+01
 -8.8828907e+00 -1.6604763e+00  2.9616439e+00 -1.8324356e+00
 -4.2890239e+00  7.8456798e+00 -3.3566940e+00 -5.1180577e+00
 -1.1767876e+01  5.1133199e+00 -6.8355932e+00 -5.2855234e+00
 -1.8171806e+00 -3.6724532e+00 -6.0113688e+00  2.8975804e+00
 -1.2132298e+01 -2.1121109e+00 -1.8699734e+00 -2.5712946e-01
  5.5597854e+00  1.4005288e+01  6.5213785e+00  2.0081564e+01
  8.4699078e+00  7.4148798e+00  8.0089178e+00  5.7665644e+00
  7.6002412e+00  4.8244128e+00 -1.3102303e+00  2.2939737e+00
 -2.2305024e+00  5.2003822e+00 -2.1874080e+00 -3.8653338e-01]",yaman
"[-282.8792      173.04927     -49.835102    -13.847679      3.009415
   -2.528471    -24.951633     -5.264057      3.6211052     7.5203004
    6.4432187     0.5295283    13.420105     12.802209      3.781202
    6.307097      0.75648487    6.239966     -3.2083158     0.54035074
   -5.3937044    -3.2245533    -6.615865     -1.1804558    -1.0598437
   -6.9515085    -3.8455544     5.3689933    -2.085454     -4.0831914
    1.8392326     6.418667      4.5830264     0.9425226    -0.9244819
    5.4808726    -2.6372733     2.0329988     6.6554685     6.5035653 ]",yaman
"[-305.17407     180.31776     -46.24701     -37.793316     -6.5394545
    7.8183823    -2.299756     -0.5651517     3.4693482    12.990654
   10.036192      5.2441854     5.256343      0.60910237    0.37279543
    2.8549573    -8.997644      5.2006416   -11.256864     -6.896945
   -0.47415686    2.5858262    -7.807157      0.78759456    2.4902635
   -2.8500881    -6.0360894    -6.2253175    -6.3657613    -4.641931
   -2.9317513     4.9196434     7.153045      5.2839985     0.7492027
    2.5924017    -2.2255256    -0.77199674    8.867434      5.3424597 ]",yaman
"[-2.7894785e+02  6.0111732e+01 -6.6562376e+00  4.6298016e+01
 -1.0433964e+01 -2.0727928e+00  2.3894267e+00  2.0071416e+00
 -5.5742106e+00  6.6508393e+00 -3.3905432e+00 -6.6865907e+00
 -1.0825956e+01  3.9220924e+00 -5.1357026e+00 -5.8205657e+00
 -2.1096921e+00 -9.7375399e-01 -7.6393886e+00  1.8265773e+00
 -9.0486736e+00 -1.7482216e+00  3.2020891e+00  6.0942326e+00
  9.2187090e+00  1.9395849e+01  3.0747533e+00  1.5041101e+01
  6.6740479e+00  4.4908156e+00  1.0584596e+01  4.1075501e+00
  3.1327264e+00  2.2649617e+00 -2.6369474e+00  6.0522738e+00
 -6.7078024e-02  3.6199570e+00 -4.0811124e+00 -2.0183451e+00]",yaman
"[-2.7349890e+02  1.6562236e+02 -4.0960846e+01 -3.0211658e+01
  4.8222260e+00  5.1259427e+00 -1.0366658e+01 -2.5480369e-01
 -2.7595530e+00  8.8874102e+00  1.0987631e+00 -1.5729376e+00
  7.0724863e-01  3.7017423e-01  3.3235090e+00 -9.7196633e-01
 -2.5072958e+00 -3.7220931e-01 -1.0198422e+01 -8.2076454e+00
 -7.3268664e-01  9.5137119e-01  8.2582636e+00  1.8061176e+01
  2.1337334e+01  6.8590131e+00  6.2709071e-02 -5.3591890e+00
 -5.6228027e+00  2.0330813e+00  3.2204418e+00  4.4047055e-01
  1.5502462e-01  1.2355173e+00 -2.6902628e+00 -3.9612737e-02
 -6.6095972e+00 -9.5584936e+00 -7.5019902e-01  1.2156682e+00]",yaman
"[-2.4799655e+02  1.7294415e+02 -4.8203724e+01 -4.4818527e+01
 -2.3349214e+00  5.7412982e+00 -8.4279985e+00  1.0298760e-01
 -1.6279643e+00  9.9741020e+00  7.4855442e+00 -3.9544570e+00
 -3.2419951e+00 -2.6641147e+00  5.6076212e+00  2.1358454e+00
 -3.6444247e+00 -1.4040600e-01 -9.5977640e+00 -5.3444963e+00
  2.8862259e+00 -5.6683016e-01  1.2957489e+00  8.7712126e+00
  1.2886521e+01  4.1350312e+00  2.5768399e-01 -2.2371905e+00
 -6.1902971e+00 -1.9653137e+00  1.7635282e+00  3.9677594e+00
  3.2793598e+00  3.0987539e+00  1.1032584e+00  2.0868847e-01
 -2.8437936e+00 -3.0773227e+00  2.4149420e+00  3.1632469e+00]",yaman
"[-2.79193268e+02  5.26950645e+01 -5.00398731e+00  4.47716064e+01
 -1.05413418e+01 -6.08071089e-01 -2.39547133e+00  1.00298144e-01
 -2.85529375e+00  7.03301859e+00 -1.92027903e+00 -6.97001839e+00
 -1.04417276e+01  5.04142904e+00 -8.56467533e+00 -1.35124695e+00
 -2.26559564e-01  5.70161295e+00  2.98142481e+00  7.53975677e+00
 -3.30611825e+00  3.11797783e-02  1.18981481e+00  5.30563164e+00
  1.17100649e+01  1.74685287e+01  1.39442790e+00  9.22848988e+00
  1.99789226e+00  1.31019735e+00  8.52320671e+00 -4.13740486e-01
  8.85391295e-01  1.91046607e+00 -1.51355803e+00  6.25510597e+00
  2.13517880e+00  5.54217529e+00 -3.66373444e+00 -5.56250274e-01]",yaman
"[-3.0552905e+02  1.7472147e+02 -4.9446678e+01 -3.9405567e+01
 -9.1639977e+00  6.1637106e+00 -2.4181216e+00  5.6048143e-01
  5.1889863e+00  1.1152501e+01  7.0010548e+00  5.2510033e+00
  8.6209574e+00  5.7505071e-01  9.7374398e-01  8.5454458e-01
 -7.0455256e+00  5.0875711e+00 -1.0285517e+01 -6.3518958e+00
 -1.1105564e-01  1.6304214e-01 -6.2911291e+00 -2.0336537e+00
  3.5361438e+00 -4.9339256e+00 -5.6800151e+00 -3.6724524e+00
 -1.0212017e+00  2.9107556e+00  7.7320743e+00  1.4389889e+01
  1.6138031e+01  7.2805681e+00  3.5184199e-01  1.2845978e+00
 -8.2097936e-01  3.5223770e+00  1.2045373e+01  5.2216597e+00]",yaman
"[-2.6020651e+02  1.8122023e+02 -4.9903866e+01 -3.0534779e+01
  2.3379047e+00  8.4585533e+00 -1.3152210e+01 -3.5326231e+00
 -2.5272079e+00  7.3057461e+00  5.0634539e-01 -1.8431538e+00
  4.0423414e-01 -1.7170649e+00  4.2048907e+00  2.8740852e+00
 -6.9617448e+00  2.4664550e+00 -1.1622404e+01 -7.8248425e+00
 -2.1688053e-01 -1.6612148e+00 -4.9601798e+00  2.7309837e+00
  4.7914424e+00 -5.8123212e+00 -4.0304742e+00 -2.1604023e+00
 -3.9338095e+00  1.0864930e+00  4.1518054e+00  5.8288183e+00
  9.4898825e+00  7.0802221e+00  5.3226262e-01 -2.8423104e-01
 -3.3035865e+00 -1.0016551e+00  7.7714567e+00  5.2950363e+00]",yaman
